seID,SrcIp,DstIp,SrcPort,DstPort,timestamp,ActualUlVolume,ActualDlVolume,ActualTotalVolume,ActualUlPacket,ActualDlPacket,ActualTotalPacket
1,201392386,2170660915,0,0,2024-10-04 19:19:25,256,84,340,2,1,3
1,201392386,2170660915,57029,36895,2024-10-04 19:19:26,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:26,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:26,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:27,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:27,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:27,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:28,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:28,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:28,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:29,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:29,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:29,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:30,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:30,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:30,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:31,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:31,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:31,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:32,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:32,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:32,0,84,84,0,1,1
1,201392386,2170660915,44760,36895,2024-10-04 19:19:33,666,507,1173,6,6,12
1,201392386,2170660915,57029,36895,2024-10-04 19:19:33,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:33,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:34,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:34,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:34,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:35,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:35,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:35,256,84,340,2,1,3
1,201392386,2170660915,44760,36895,2024-10-04 19:19:36,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:36,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:36,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:37,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:37,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:37,0,84,84,0,1,1
1,201392386,2170660915,44760,36895,2024-10-04 19:19:38,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:38,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:38,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:39,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:39,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:39,128,0,128,1,0,1
1,201392386,2170660915,44760,36895,2024-10-04 19:19:40,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:40,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:40,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:41,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:41,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:41,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:42,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:42,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:42,3552,50831,54383,27,42,69
1,201392386,2170660915,0,0,2024-10-04 19:19:42,0,84,84,0,1,1
1,201392386,2170660915,44760,36895,2024-10-04 19:19:43,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:43,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:43,2268,53192,55460,22,34,56
1,201392386,2170660915,0,0,2024-10-04 19:19:43,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:44,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:44,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:44,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:44,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:45,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:45,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:45,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:45,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:46,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:46,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:46,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:46,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:47,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:47,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:47,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:47,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:48,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:48,0,0,0,0,0,0
